Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,Yes,Travel_Rarely,1229,Research & Development,22,3,Medical,1,69,1,Male,33,2,1,Sales Representative,4,Married,5332,21192,1,Y,No,21,3,2,80,2,37,4,4,39,17,3,13
40,No,Travel_Rarely,811,Research & Development,20,2,Technical Degree,1,70,4,Male,97,1,5,Sales Executive,2,Single,3047,9140,5,Y,No,22,3,2,80,1,6,5,3,26,2,6,4
57,No,Travel_Rarely,497,Sales,18,1,Medical,1,71,4,Male,36,1,5,Research Director,1,Married,16986,6280,7,Y,No,24,3,2,80,1,21,3,4,3,10,6,9
38,No,Non-Travel,1013,Research & Development,1,2,Marketing,1,72,2,Female,75,4,5,Sales Representative,3,Married,6470,18816,0,Y,No,23,3,4,80,0,21,5,1,0,3,13,7
33,No,Travel_Frequently,1462,Research & Development,1,1,Medical,1,73,4,Male,38,1,3,Sales Executive,4,Married,9072,11947,3,Y,No,18,3,2,80,3,26,1,2,5,8,9,12
35,No,Travel_Rarely,1106,Sales,24,5,Marketing,1,74,2,Male,62,3,2,Research Director,2,Single,19378,8062,0,Y,Yes,11,3,2,80,3,32,4,2,30,11,8,8
41,No,Non-Travel,1267,Sales,14,2,Technical Degree,1,75,3,Male,62,2,1,Research Scientist,4,Single,2271,14550,1,Y,No,18,3,2,80,1,31,5,1,0,9,9,3
43,No,Travel_Rarely,418,Research & Development,4,5,Life Sciences,1,76,1,Female,33,2,2,Research Director,2,Married,6740,17592,0,Y,No,24,3,2,80,1,38,4,2,4,9,14,7
42,Yes,Travel_Frequently,782,Sales,5,3,Technical Degree,1,77,4,Female,94,3,5,Laboratory Technician,4,Single,10912,9778,5,Y,No,11,3,2,80,0,31,1,1,18,8,13,4
58,No,Travel_Rarely,1435,Research & Development,11,1,Marketing,1,78,2,Male,63,2,2,Sales Representative,4,Single,1358,25199,5,Y,No,13,3,3,80,1,0,5,1,4,9,7,5
46,No,Non-Travel,596,Sales,24,3,Human Resources,1,79,3,Male,93,4,5,Manager,3,Married,1449,17637,0,Y,No,19,3,3,80,1,9,3,1,4,8,11,4
32,Yes,Travel_Rarely,657,Research & Development,28,1,Technical Degree,1,80,2,Female,54,2,5,Healthcare Representative,4,Single,14908,10455,3,Y,No,14,4,2,80,3,3,4,4,30,0,12,0
18,No,Travel_Frequently,711,Research & Development,23,5,Human Resources,1,81,1,Female,84,1,4,Research Scientist,3,Divorced,19955,8599,3,Y,No,20,3,2,80,1,28,6,2,6,15,14,3
42,No,Travel_Frequently,210,Research & Development,13,4,Human Resources,1,82,4,Female,38,2,4,Research Scientist,1,Married,4161,8481,7,Y,No,23,3,4,80,0,6,6,4,14,13,7,0
24,No,Travel_Rarely,473,Research & Development,16,2,Marketing,1,83,3,Female,46,2,2,Sales Executive,2,Single,11256,26488,5,Y,No,19,3,2,80,1,37,6,3,12,12,6,3
26,No,Travel_Rarely,956,Research & Development,24,5,Marketing,1,84,2,Female,50,3,1,Human Resources,3,Single,19726,13385,1,Y,No,11,3,1,80,1,5,5,1,11,5,9,13
41,No,Travel_Frequently,717,Research & Development,13,1,Life Sciences,1,85,3,Female,89,3,2,Research Director,2,Married,10623,14900,4,Y,No,18,3,3,80,1,10,1,2,18,13,4,13
18,No,Travel_Rarely,869,Research & Development,24,1,Other,1,86,2,Male,42,1,1,Research Director,3,Married,17466,24954,3,Y,Yes,13,3,2,80,2,8,6,3,12,7,8,8
25,No,Travel_Rarely,307,Research & Development,22,1,Medical,1,87,2,Male,32,3,2,Sales Executive,2,Married,7958,21490,9,Y,No,21,3,3,80,1,29,5,1,26,17,13,10
41,No,Travel_Rarely,948,Research & Development,26,1,Technical Degree,1,88,1,Male,97,1,3,Healthcare Representative,3,Married,3214,25962,3,Y,No,17,3,2,80,0,21,5,3,37,0,11,15
28,No,Travel_Rarely,144,Research & Development,2,2,Marketing,1,89,1,Female,33,4,3,Manager,2,Married,18864,4704,7,Y,No,12,3,1,80,3,38,3,4,32,11,10,3
34,No,Travel_Frequently,966,Research & Development,16,3,Technical Degree,1,90,2,Female,36,1,1,Research Scientist,1,Divorced,14142,4567,4,Y,No,23,3,2,80,3,8,2,4,5,10,6,8
25,No,Travel_Rarely,1370,Research & Development,6,4,Other,1,91,4,Female,55,2,4,Healthcare Representative,2,Married,19123,23733,2,Y,No,17,3,3,80,2,37,0,2,12,12,14,16
52,No,Travel_Rarely,1412,Sales,14,2,Other,1,92,3,Male,53,1,1,Manager,1,Married,1044,4782,9,Y,Yes,17,3,3,80,0,32,2,3,12,3,11,14
52,No,Travel_Rarely,1480,Research & Development,1,1,Human Resources,1,93,3,Male,39,4,2,Human Resources,1,Married,18413,6898,3,Y,No,19,3,3,80,3,25,2,3,12,5,13,7
50,No,Travel_Rarely,886,Research & Development,17,2,Medical,1,94,1,Male,42,2,5,Sales Executive,1,Divorced,6543,3384,0,Y,No,12,3,4,80,3,15,0,4,19,12,10,12
22,No,Travel_Rarely,577,Research & Development,11,5,Life Sciences,1,95,4,Male,73,1,3,Laboratory Technician,4,Married,9018,12321,5,Y,No,18,3,3,80,1,8,5,4,35,12,2,0
59,No,Travel_Rarely,184,Research & Development,19,1,Technical Degree,1,96,2,Female,68,3,5,Human Resources,2,Married,11961,26776,9,Y,No,15,3,2,80,1,22,2,2,36,5,11,1
56,Yes,Travel_Rarely,1235,Human Resources,3,4,Medical,1,97,1,Female,48,3,3,Sales Executive,4,Married,3544,21085,3,Y,No,20,3,1,80,1,14,2,1,8,3,5,9
58,No,Travel_Rarely,291,Research & Development,11,1,Life Sciences,1,98,2,Male,80,3,2,Sales Executive,4,Married,5972,26556,5,Y,Yes,19,3,1,80,2,18,1,2,16,2,2,12
45,Yes,Travel_Frequently,901,Sales,5,4,Technical Degree,1,99,2,Male,48,1,3,Sales Executive,2,Single,13716,20166,1,Y,No,18,3,2,80,1,15,1,4,34,14,5,10
24,Yes,Travel_Rarely,1037,Sales,17,4,Medical,1,100,1,Female,81,1,1,Sales Representative,1,Married,13869,8605,4,Y,No,13,3,4,80,0,24,3,2,17,10,12,13
26,No,Travel_Rarely,352,Research & Development,26,3,Marketing,1,101,4,Male,76,4,5,Healthcare Representative,4,Single,15256,10291,8,Y,No,13,4,2,80,2,34,4,1,24,1,7,15
25,No,Travel_Rarely,392,Research & Development,22,3,Technical Degree,1,102,3,Female,59,2,5,Manager,4,Single,18419,10808,7,Y,No,21,3,3,80,3,12,5,4,14,16,8,5
29,Yes,Travel_Rarely,1326,Sales,7,2,Medical,1,103,1,Male,75,2,2,Research Director,3,Divorced,18679,8766,2,Y,Yes,22,3,4,80,3,6,6,1,22,1,1,1
51,No,Travel_Rarely,427,Sales,10,2,Other,1,104,4,Male,50,2,5,Research Scientist,2,Single,9521,21821,0,Y,No,20,3,2,80,0,33,3,2,0,0,5,4
50,No,Travel_Rarely,938,Sales,28,4,Life Sciences,1,105,2,Male,77,2,2,Research Scientist,4,Single,14896,18543,9,Y,No,18,3,4,80,0,13,1,1,37,4,13,6
40,No,Travel_Frequently,609,Research & Development,11,1,Medical,1,106,1,Male,91,1,4,Laboratory Technician,2,Single,3302,21888,2,Y,No,19,3,1,80,3,22,1,4,17,16,2,16
41,No,Travel_Rarely,832,Research & Development,3,5,Marketing,1,107,3,Male,87,1,1,Laboratory Technician,2,Married,19005,5075,7,Y,No,12,3,2,80,0,22,0,4,0,0,14,4
54,No,Travel_Rarely,173,Research & Development,20,5,Technical Degree,1,108,3,Male,47,4,3,Laboratory Technician,4,Married,17869,14879,2,Y,No,13,3,2,80,0,16,0,1,38,6,13,11
52,No,Travel_Frequently,1372,Research & Development,10,1,Technical Degree,1,109,2,Male,88,2,3,Manufacturing Director,2,Single,12365,24066,4,Y,No,24,3,1,80,0,12,6,2,9,2,13,11
57,Yes,Travel_Rarely,742,Research & Development,27,1,Technical Degree,1,110,1,Male,77,1,3,Laboratory Technician,1,Single,11027,16760,1,Y,Yes,24,4,4,80,1,26,6,2,30,15,6,2
39,No,Travel_Rarely,1041,Research & Development,10,3,Marketing,1,111,3,Male,92,1,4,Research Scientist,4,Single,13829,4909,0,Y,No,18,3,1,80,3,1,1,2,37,15,10,3
44,No,Travel_Rarely,709,Research & Development,14,5,Life Sciences,1,112,1,Male,41,1,1,Human Resources,4,Single,16942,7190,9,Y,No,12,3,4,80,0,36,2,2,6,11,3,14
52,No,Travel_Rarely,667,Sales,12,4,Technical Degree,1,113,3,Male,63,1,5,Manager,4,Single,2956,16044,4,Y,No,18,3,2,80,0,29,6,3,37,8,13,14
18,No,Travel_Frequently,1469,Research & Development,15,2,Life Sciences,1,114,2,Female,90,2,5,Laboratory Technician,3,Married,16319,20495,4,Y,No,15,3,4,80,1,3,3,3,7,13,14,10
52,No,Travel_Frequently,155,Research & Development,10,3,Medical,1,115,2,Female,82,2,1,Human Resources,3,Single,17312,8767,5,Y,No,16,4,4,80,3,29,1,1,33,11,14,1
54,No,Non-Travel,629,Human Resources,10,5,Other,1,116,1,Male,54,1,1,Manufacturing Director,3,Single,16023,3836,1,Y,No,24,3,3,80,2,2,5,3,8,15,4,2
31,No,Travel_Rarely,712,Sales,26,1,Other,1,117,4,Male,91,3,3,Manufacturing Director,3,Divorced,18986,7814,8,Y,No,20,3,3,80,3,13,1,3,24,16,9,13
20,No,Travel_Rarely,294,Sales,19,5,Life Sciences,1,118,4,Male,33,4,5,Research Director,4,Divorced,10948,5603,1,Y,Yes,22,3,3,80,3,10,0,3,26,11,5,5
18,No,Travel_Rarely,159,Sales,1,4,Life Sciences,1,119,2,Male,42,2,1,Sales Representative,1,Single,15474,14367,1,Y,Yes,14,3,1,80,3,39,3,1,6,3,10,1
22,No,Travel_Rarely,1236,Research & Development,24,3,Other,1,120,3,Female,71,2,5,Sales Representative,2,Single,11234,24864,4,Y,Yes,13,3,1,80,1,22,3,3,31,16,12,0
43,No,Travel_Rarely,230,Research & Development,26,1,Technical Degree,1,121,4,Female,78,3,1,Sales Representative,2,Married,8713,5628,8,Y,No,18,3,3,80,3,31,4,2,8,0,7,7
31,Yes,Non-Travel,807,Sales,10,4,Human Resources,1,122,2,Female,85,2,2,Healthcare Representative,4,Married,17649,16779,3,Y,Yes,19,3,2,80,2,2,1,2,16,16,1,9
56,No,Travel_Rarely,953,Research & Development,2,2,Human Resources,1,123,3,Male,76,3,3,Sales Representative,1,Divorced,7521,7230,5,Y,No,23,3,2,80,0,0,4,1,34,10,3,10
44,Yes,Travel_Rarely,1451,Research & Development,17,3,Marketing,1,124,3,Male,37,3,1,Manufacturing Director,2,Married,4000,7679,1,Y,Yes,18,3,2,80,3,8,0,1,15,18,13,15
26,No,Travel_Rarely,109,Sales,24,4,Other,1,125,4,Female,84,1,4,Research Director,1,Married,18810,10648,3,Y,No,19,4,1,80,1,8,4,1,1,17,10,4
32,No,Travel_Rarely,130,Research & Development,7,4,Other,1,126,2,Male,47,2,1,Human Resources,4,Divorced,8974,13567,8,Y,No,11,3,4,80,3,11,2,4,30,1,3,6
32,No,Travel_Rarely,1237,Sales,7,1,Marketing,1,127,3,Male,64,4,2,Laboratory Technician,3,Married,14739,25636,1,Y,No,15,3,1,80,3,0,1,3,15,8,5,1
43,No,Travel_Frequently,1048,Research & Development,20,2,Human Resources,1,128,3,Female,61,3,4,Sales Representative,1,Single,9310,3728,0,Y,Yes,22,3,3,80,2,15,1,1,32,8,3,10
59,No,Travel_Rarely,232,Research & Development,27,4,Medical,1,129,1,Female,53,4,4,Human Resources,2,Married,19945,19002,3,Y,No,17,4,4,80,2,29,3,1,20,11,10,12
30,No,Travel_Frequently,289,Research & Development,9,3,Technical Degree,1,130,1,Female,36,1,1,Sales Executive,2,Single,10258,23404,3,Y,No,18,3,2,80,1,7,6,1,16,12,4,15
49,No,Travel_Rarely,810,Sales,22,4,Technical Degree,1,131,4,Male,42,2,2,Research Scientist,2,Single,15164,17211,0,Y,No,24,3,1,80,1,9,4,2,34,15,4,13
56,No,Travel_Frequently,1489,Human Resources,2,5,Medical,1,132,1,Male,98,1,4,Sales Representative,3,Married,17089,3816,3,Y,No,21,3,1,80,1,32,3,1,6,12,7,6
49,No,Travel_Frequently,1329,Research & Development,14,3,Medical,1,133,2,Male,71,1,3,Research Scientist,1,Single,3051,10705,2,Y,No,12,3,3,80,1,37,5,2,28,13,3,6
21,Yes,Travel_Rarely,313,Research & Development,17,3,Human Resources,1,134,4,Female,60,4,3,Sales Representative,1,Single,19574,25407,1,Y,No,22,3,2,80,1,21,4,2,10,6,11,11
47,Yes,Travel_Rarely,377,Sales,1,4,Marketing,1,135,4,Male,55,4,5,Sales Executive,2,Divorced,15843,24635,9,Y,Yes,21,3,1,80,0,15,6,4,29,1,5,11
54,No,Non-Travel,1198,Sales,9,1,Medical,1,136,1,Female,61,3,5,Laboratory Technician,1,Married,5501,5958,3,Y,No,24,4,1,80,0,18,4,1,17,11,6,0
40,Yes,Travel_Rarely,344,Sales,20,3,Marketing,1,137,3,Female,81,2,2,Healthcare Representative,2,Single,4567,3161,7,Y,No,14,3,4,80,1,10,6,4,15,16,7,5
56,No,Non-Travel,1227,Sales,21,5,Life Sciences,1,138,2,Male,49,1,4,Manager,1,Single,10822,8532,6,Y,Yes,17,3,1,80,1,10,6,1,5,4,8,7
32,No,Travel_Rarely,1088,Research & Development,19,1,Technical Degree,1,139,2,Male,69,3,3,Human Resources,3,Single,4667,19897,8,Y,No,15,3,4,80,0,13,0,3,1,9,9,12
46,No,Travel_Rarely,786,Research & Development,4,1,Human Resources,1,140,2,Male,88,3,3,Human Resources,3,Single,17328,9365,7,Y,No,11,3,1,80,2,38,4,1,9,17,7,4
53,No,Travel_Frequently,272,Research & Development,28,1,Technical Degree,1,141,4,Female,43,1,2,Laboratory Technician,4,Divorced,4893,13419,0,Y,No,23,3,2,80,0,25,3,1,3,2,13,9
